No,username,Date,cleaned_tweets
113,MSFTDynamics365,2020-06-23 22:30:10,Join @gemmamilne for a look at how companies are adapting to a disrupted world and preparing for tomorrow. Listen t… https://t.co/qWJDSeNXbj
114,Azure,2020-06-23 22:30:06,Discover how enterprises are taking advantage of #Azure Maps capabilities to optimize business operations using loc… https://t.co/nTySL1N3Nm
115,MSFTAppSource,2020-06-23 22:30:02,Easily manage and share templates in Office 365 #MicrosoftTeams and more across your organization with the… https://t.co/FUnUG9U9X1
116,Health_IT,2020-06-23 22:30:01,A journey to good mental health both for yourself and within your community is more than possible—it's a necessit… https://t.co/BJVekQFesi
117,MSFTGameStack,2020-06-23 22:30:00,Learn the basics of Mesh Shaders in #DirectX12: https://t.co/4fWcbj73OM
118,Azure,2020-06-23 22:30:00,Yuri Diogenes joins @shanselman to reveal how #Azure Security Center helps you identify and implement security best… https://t.co/zHwDFXdgSu
119,MSFTQuantum,2020-06-23 22:30:00,Discover how @OTILumionics can open its computational pipeline to run more accurate simulations at significantly hi… https://t.co/zowZsAu3Xz
120,MSFT__Incel,2020-06-23 22:29:24,People want to make Bubba Wallace a Jussie Smollett so badly. Pretty sad you can't help but criticize a black guy f… https://t.co/iLdxdBFLw2
121,MSFT__Incel,2020-06-23 22:28:26,@CalebJHull Why? He didnt use it to attack any fellow drivers or use it for any purpose other than racism is bad… https://t.co/vCcNfNDr2s
122,MicrosoftHelps,2020-06-23 22:27:17,@PuneethHardekar 2/2 details about your main concern for us to check if we can provide you options In case you miss… https://t.co/xzWdWppmIU
123,RCTrades1,2020-06-23 22:26:37,Anyone catch that insane $FSLY bull run? 😱RC did in our FREE trading room! 💰Join today and start making money w… https://t.co/XZeSzeJMLP
124,musicnews360,2020-06-23 22:22:41,Moose trapped in thick mud pulled to safety by ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc… https://t.co/6jQjmSD9td
125,Windows,2020-06-23 22:20:43,@jkwphysics We understand your frustration. You can keep track of known issues and notifications here: https://t.co/EE2s20CHKw
126,SPXTrades,2020-06-23 22:20:04,Scalper caught both sides on $MSFT More details at https://t.co/u0M7Qrcf6m https://t.co/XamFeU4uhR
127,Windows,2020-06-23 22:18:59,@ultimatejisoo Let's have you run through these troubleshooting steps and keep us updated with the results! https://t.co/qqyoHNgZSG
128,Azure,2020-06-23 22:18:34,Learn how @Kennametal is creating the factories of the future including the migration of SAP to #Azure:… https://t.co/2SdEkO67Ue
129,adhall_msft,2020-06-23 22:17:41,@gavinbarron Sorry mate know a few people who are now wondering “so what happens now” ... so short sighted.
130,MSPowerAutomate,2020-06-23 22:17:01,Digitize pen-and-paper tasks and automate complex processes. See how process automation lets you do more with less:… https://t.co/zDksswWflP
131,MSCloud,2020-06-23 22:15:13,Don’t miss this fireside chat with Craft Worldwide for insight into the tools you can use to help your remote teams… https://t.co/PKcEvTwteo
132,awakecoding,2020-06-23 22:15:00,@janne_rantala @Taylorb_msft @windowsserver Absolutely! It may not be the coolest feature request in the backlog b… https://t.co/uhwk66hPM0
133,Njabs_MSFT,2020-06-23 22:14:36,Where can I find nice black formal pants?
134,PrefShares,2020-06-23 22:14:26,@JerryCap Equal weighted portfolio of: $V $MCO $AMZN $AAPL $SHOP $ADBE $HD $TSLA $MSFT $VRSN $NOW $NKE $ECL $EQIX… https://t.co/JEBjy76QFn
135,MS_ITProCA,2020-06-23 22:14:01,Learn why The PUR Company chose Microsoft 365 to help it keep pace with its rapid growth and delectables-driven suc… https://t.co/ySD8JcFSGX
136,FuzzySec,2020-06-23 22:12:39,@sociallydista19 @cyb3rops I mean empire (just used as an example here) was introduced at a time when there was 0… https://t.co/lCGosMPMBJ
137,musicnews360,2020-06-23 22:10:46,Miss. St. RB Kylin Hill vows not to play unless ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc… https://t.co/T66yOXdfFh
138,Njabs_MSFT,2020-06-23 22:09:57,@Nkanyiso_ngqulu This is atrocious
139,Windows,2020-06-23 22:09:29,@WaviiiKy Hi there. You can learn more about your language settings in Windows 10 here: https://t.co/KQOu7iX9dq
140,MSFT_31,2020-06-23 22:09:24,I wanna be in a band so bad lmao
141,TheOmCEO,2020-06-23 22:09:19,⚡ How #Blockchain enables the divergence of free speech #1A including reinventing #SocialMedia. $FB $TWTR $MSFT… https://t.co/vscJshIZSW
142,adhall_msft,2020-06-23 22:07:38,@ryancrawcour Public preview today so would be a preflight for now.
143,Njabs_MSFT,2020-06-23 22:07:34,Abusers hate it when you have friends and family so they work hard to destroy that for you so they can start abusin… https://t.co/X9Mw76QPVY
144,MinteractApp,2020-06-23 22:05:24,#Microsoft $MSFT Has An Excellent #Technical Analysis Score (TA Score). Breakdown Of 3 Categories: #candle score Ex… https://t.co/YhEXZd3v8B
145,dotnetissues,2020-06-23 22:05:05,Address feedback from customers for the UX[NuGet\NuGetGallery #8070 t-mog-msft] https://t.co/9WSm0qlt1B
146,ryancrawcour,2020-06-23 22:03:44,@adhall_msft Can't find the app in the store. Is this enterprise distribution only?
147,SuperLuckeee,2020-06-23 22:03:02,Watch into earnings this coming week: $NKE $KBH $MLHRNext month long swing into March 2021: $NFLX $AMZN $AAPL $MSFT $NVDA $STMP $TEAM $SPLK
148,NPetallides,2020-06-23 22:02:28,#HappyTuesday Friends ... #Stocks RECORDS FOR #Nasdaq $AAPL $AMZN $FB $NFLX $MSFT $PYPL $PTON and more  Have a grea… https://t.co/e5Js5wDxKs
149,BullTradeFinder,2020-06-23 22:02:22,$TSLA $MSFT $GOOGL $AMD $AAPL $SHOP $FB CONGRATS TO OUR VIP MEMBER! 💰💸 #BTF #BullTradeFinder https://t.co/gVHezERwsD
150,11Graphs,2020-06-23 22:00:53,P/B among largest #stocks $SPX $SPY1. 🇺🇸 APPLE INC. $AAPL: 19.332. 🇺🇸 MICROSOFT CORPORATIO. $MSFT: 12.923. 🇺🇸 AL… https://t.co/eZqUTtYMAk
151,FiliTheTester,2020-06-23 22:00:26,$MSFT - Microsoft Corporation$DDOG - Datadog Inc.$NVDA - NVIDIA Corporation$AMD - Advanced Micro Devices Inc. https://t.co/4qWBQ3rlNc
152,dennisguzy,2020-06-23 22:00:05,Learn how @PwC took advantage of Cognitive Search to help financial institutions meet regulatory requirements faste… https://t.co/jYo2365jtp
153,msft_nick,2020-06-23 22:00:03,The 3 Components of Mental Strength https://t.co/1iR7fXKTY4 #MSFTAdvocate
154,AzureDevOps,2020-06-23 22:00:00,@lukepooped We see your point. In that case we've a dedicated team of experts that could provide insights for your… https://t.co/tYcmSPGGWp
155,msftsecurity,2020-06-23 22:00:00,Gain more insight into your organization’s network and improve your security operations capabilities. Learn how… https://t.co/HpGI5sqVNw
156,MSdevIRL,2020-06-23 22:00:00,Simplifying declarative deployments in Azure https://t.co/4dto3koe8N #MSDevIRL #Azure #Developers
157,Microsoft365,2020-06-23 21:59:48,@DeepeshKrSingh Hi there thank you for that great suggestion. Can you post that idea at the following link? https://t.co/vDOsriQHYV
158,RealUrBautz,2020-06-23 21:59:35,@adhall_msft Yes. Still to bad to keep up with here and Sygic.
159,Tsejuu,2020-06-23 21:58:29,I used to be a die hard fan of MSFT product but God opened my eyes.Shitty apps. So much bugs.You would this wor… https://t.co/S8EPx3jUBv
160,JensHMadsen,2020-06-23 21:55:54,@expta @RossSmithIV @gregtaylor_msft @mealiffe @FeverTreeMixers So a Suffering Bastard for a Suffering Bastard I get it @expta
161,chief_justice__,2020-06-23 21:53:40,$QQQ $AAPL $MSFT $FSLY $TWLO $SHOP and many others hit all time highs today. 19 of the last 22 trading sessions hav… https://t.co/BghmeOTjwc
162,PlayCraftLearn,2020-06-23 21:53:01,A #BuildChallenge brings out the creativity in students! See what learners around the world developed for May's Cod… https://t.co/S0RRhKS9Gk
163,aaaamhim,2020-06-23 21:51:55,$CBL what did i tell u!!? .355 already getting chopped down!💸 $xrp $btc $spy $tsla $msft $goog $ba $fb $amd $v… https://t.co/QGE0Tn9d8G
164,JimS83963080,2020-06-23 21:51:34,@GossiTheDog I love what MDATP is doing in that space but the rest of Msft needs to keep up. Especially when the M… https://t.co/9MlCsdpxdG
165,PeterTrader99,2020-06-23 21:49:45,ATH/52wk high today 👏👏👏$AAPL $ADBE $AMZN$DOCU$ETSY$FB$MSFT$NFLX $NOW $NVDA$PYPL$QQQ$SHOP $SQ$TTD $TWLO
166,bmoore_msft,2020-06-23 21:47:56,Slightly ;) better docs for the #armttk than I'm able to do in markdown: https://t.co/0W8OPYOKPI
167,nhuntwalker,2020-06-23 21:46:53,If I hated MSFT's guts &amp; wanted to bet on it failing &amp; it instead does well I only paid out $9.68 for a PUT option… https://t.co/1dL8iLu50u
